term,tfidf_mean
역사는,0.0022969601530209824
시간가는줄,0.0022855618147937097
재미있어요,0.002280021570887009
가족과,0.0022703572389271734
아픈,0.002259550888633978
느낌,0.0022519629948946937
보면,0.0022470257200645763
매우,0.0022365185574849994
처음,0.00223583695143658
끝까지,0.0022173316997255257
되는,0.002211312407875211
내가,0.00217686718654313
울면서,0.0021746881798876973
올해,0.0021704431616290645
않은,0.002164296026782524
사실을,0.002154044591825255
좋습니다,0.002147587781119788
두번째,0.002146928563796557
정도로,0.0021374779672512804
박지훈님,0.0021366336295029612
새로운,0.002131532101526549
눈이,0.002128941490616782
마음,0.002127666485954449
한국영화,0.002110944814230883
재밌는,0.0021026934249801336
같은,0.0020855952947459668
감동입니다,0.002074657358904641
않고,0.0020611575786581723
덕분에,0.0020505542465921386
추천,0.0020235650859867934
감동도,0.001997227469146123
왕과사는남자,0.001989004121873374
재미있었어요,0.00198274362629728
감독,0.001974342787907983
가는,0.0019610289687982643
깊은,0.001957719547115304
엄흥도,0.001954530523298308
가장,0.0019474592205580659
유해진님의,0.0019402886315723468
중간중간,0.0019381909017306272
울었습니다,0.0019321310238143406
보러,0.001926097148120472
유해진배우님,0.0019070018744365394
있게,0.0018988878472011072
마음을,0.0018980939509700278
아쉬운,0.0018946282297695972
주는,0.0018873526823288385
잘하고,0.0018751446096617788
배우님들의,0.0018747535139374389
슬프다,0.0018678553929099095
기대,0.0018649867065726397
알게,0.0018648627168889088
몰랐던,0.0018465530138316749
나는,0.0018173321080493976
유해진은,0.00180566053128115
웃음,0.001799430021091942
영화의,0.0017947454374121602
나도,0.00178905214551096
휴지,0.0017867802578419429
보게,0.0017590683083791442
유해진과,0.0017588773926410024
슬픔이,0.0017582538296325877
최고였어요,0.0017560108261177186
마지막엔,0.0017556321602058284
있지만,0.0017512575668605882
아닌,0.001749530912945156
영화에요,0.001747380363312526
하네요,0.0017454454317369168
모르게,0.001739165260739509
영화에,0.0017367833230956693
어떻게,0.0017350254842287912
했는데,0.0017323060679179214
영화였다,0.001723817655234431
하지만,0.0017136162137663348
연출은,0.001708155331807369
더욱,0.0017027584897966518
줄줄,0.0016887597069090723
안타까운,0.0016857087136092038
잘해요,0.0016854553122411303
왕의,0.0016828747871478933
미쳤어요,0.0016801791912278972
두번,0.0016795285531035176
연출도,0.0016792263325494249
없고,0.0016787463726573822
있어,0.001677149381213804
영월,0.0016768952823947181
울다,0.0016738694908732545
번째,0.0016703285400956908
사람들이,0.0016646744646251984
영화다운,0.0016594596087967045
있었습니다,0.0016566896812817895
해서,0.0016549268195899878
단종오빠,0.0016390462065535652
했어요,0.0016383859942870522
전미도,0.0016254001168223414
단종은,0.0016252783744918628
n차,0.0016246575896613528
우리,0.0016225038285494044
다시한번,0.0016194072291253042
했습니다,0.0016152909277051086
실제,0.0015953546443849562
최고였습니다,0.0015885383463833333
만드는,0.0015838060322315888
봐서,0.001578398151123144
오래,0.001573282899700629
이제,0.0015730993675607025
재미나게,0.0015723118523550065
이홍위,0.001551937400809777
제일,0.001550431934580744
감동적입니다,0.0015494063272504823
왔습니다,0.0015449704335475148
있네요,0.0015376866943961965
남네요,0.0015350793076435855
왕이,0.0015339256470533835
유해진배우,0.0015338647187051104
안아,0.0015307737360437564
엄흥도의,0.0015185814147258493
기대를,0.0015184341843266084
강추,0.0015149861877407275
저도,0.0015147700504202148
싶어요,0.001511296946785647
재미있는,0.001495684932006886
슬펐습니다,0.001495052341462609
웃기고,0.0014942720917527047
아직도,0.0014890853409323477
보는내내,0.001488170744057027
집중해서,0.0014739501820501474
차력쇼,0.0014687339489756928
그런,0.0014681110786574963
감동적이었어요,0.001458728096984765
대박,0.001455104182513776
솔직히,0.0014504046240391027
나오는,0.0014491104699056085
그렇게,0.0014485393605608518
좋은영화,0.0014466873999896116
아니라,0.0014465402841196866
캐스팅,0.001445452148306241
뻔한,0.0014449716514752292
영월에,0.0014317835610569902
다했다,0.0014311389060700467
있었어요,0.0014300717671269184
왔어요,0.0014205837620006284
없다,0.0014203701551871708
있어요,0.0014142183820048354
돋보이는,0.0014116374409207765
처음부터,0.001406913317167179
마음에,0.001406035659651229
영화라,0.0014047832918383304
갈수록,0.0013984234219292177
웃다,0.0013967433600881388
가는줄,0.0013961087539375592
스토리와,0.0013937971395620381
저는,0.00139273987391258
재밌네요,0.00139267938445835
배우연기가,0.0013921603266844513
삶을,0.00139191413963296
요즘,0.0013913734196123624
잔잔한,0.0013854375266050426
천만영화,0.0013790987313401387
나왔어요,0.0013763894934231845
기억에,0.001374995759328356
있다,0.0013737131623946148
이야기가,0.0013716847942757868
훌륭한,0.0013689975356170594
멋진,0.0013678915976872554
박지훈배우,0.0013677053645614178
보고싶은,0.0013647730871911338
그런지,0.0013643817594922894
장면이,0.0013641910470707356
내용을,0.001362840815043877
말이,0.001362288019567931
사람,0.001361471746431435
있었던,0.001360802017736532
다소,0.001356414832204018
좋음,0.001356382560820964
전하,0.0013523108200395706
부모님,0.0013476685784469266
안타깝고,0.001346968942657521
