trigram,count
배우님들 연기도 좋았고,10
재밌게 관람했습니다 볼만했어요,10
재미 있게 봤습니다,10
이번 영화를 통해,10
박지훈 배우의 연기,10
믿고 유해진 배우님,10
모든 배우의 연기가,10
눈빛을 잊을 수가,10
눈물을 참을 수가,10
이제 어디로 갑니까,10
좋았고 배우들의 연기가,10
오랜만에 돈이 아깝지,9
배우분들의 연기가 좋았어요,9
배우들 연기가 좋았음,9
배우와 박지훈 배우,9
박지훈 유해진 배우,9
말이 필요 없습니다,9
