term,tfidf_mean
감독이,0.0012128527770088977
몰입하게,0.0012106157707687038
이놈,0.0012101915367851383
이유가,0.001209020956812729
나이에,0.0012079026309374551
있었고,0.0012048405174955737
울리는,0.0012040357303647364
아깝지,0.0012031714570844513
박수를,0.0012030493899464832
알면서도,0.0011981269174859976
나왔습니다,0.0011977824314475876
알았는데,0.0011949658476779433
사실,0.0011945047686409108
몰입하면서,0.0011872701341951344
어린나이에,0.0011848108330102817
잼있게,0.001180811759388439
알고있는,0.0011800066663210094
울었다,0.0011789073856714246
cg가,0.0011777092364861183
다한,0.0011775176189884663
모두가,0.0011739765951283361
연기력으로,0.0011725321418216202
눈빛과,0.0011658533613739237
영화예요,0.0011651793188295595
가족들이랑,0.0011608743479410617
싶네요,0.0011536247130776614
재미가,0.001149934487517955
슬퍼,0.0011480333027025578
수양대군,0.0011469903317801948
감정,0.0011463594843730055
않는,0.0011444391351728364
열연이,0.0011406610151233876
장면,0.0011398184568728212
미친,0.0011313726715140358
자꾸,0.0011295157223889854
느낄,0.0011280937798722561
재밋게,0.0011266703298472016
영화다,0.0011244612411991804
cg,0.0011231999543027977
내용도,0.0011184807081337715
몰입하며,0.0011174876058130374
느껴지는,0.0011138627842017578
재밌습니다,0.001112574701312809
눈물도,0.0011110034572578893
관람했어요,0.0011054707386720483
연기력도,0.001102279241325358
이번,0.001100456738973645
수가,0.0010969869290887698
크게,0.0010946875038633863
볼만했어요,0.0010930178721335771
끝나고,0.0010929856793695186
되네요,0.001090440822316564
cg는,0.0010889298878300757
다만,0.0010881699461029145
연기자들의,0.0010859367732098469
결국,0.0010820726150427556
것도,0.0010802026919629892
울어서,0.0010796900757287528
갔는데,0.0010796324726112607
엉엉,0.001079226311910197
배우연기,0.0010786686938283
통해,0.001077643638413976
유해진씨,0.0010744993717109069
내용,0.0010743308369229674
지루하지,0.0010708985430485996
가족,0.0010680126037012937
있습니다,0.0010626865435582936
완벽한,0.001060698537152121
슬프지만,0.0010592900827838874
박지훈배우의,0.001059261749704803
가슴아픈,0.0010592451843290495
마지막은,0.001058328229992868
배우와,0.001057767295564125
나와서,0.001057259782996723
부디,0.0010538178098953657
결말이,0.0010537268943315338
장항준감독님,0.0010511471219891723
주연,0.0010509582966544756
아쉬움,0.0010509252141046679
사실에,0.001049425910372132
내용이지만,0.0010477057053731715
나네요,0.0010461909137763827
캐스팅이,0.0010439363993973803
마을,0.0010432860672196119
스토리를,0.0010430862395368766
영화보면서,0.0010369258890449366
유지태의,0.0010333823875937748
인생,0.0010333642163022018
보았어요,0.0010303738407782413
홍위,0.0010295480867291377
몰입감있게,0.0010251665902650709
엄마랑,0.0010225902479464896
슬픔을,0.0010212299988925293
않게,0.0010184167118429649
했지만,0.001016054334434162
볼만합니다,0.0010156563044489907
연기들이,0.0010131786307641668
명절에,0.0010114605788490957
한명회는,0.0010107951153647842
없네요,0.0010096288843571043
아프고,0.0010089729688738994
남아요,0.0010071898621827847
보시길,0.0010007432729945984
인상,0.0009994937803304554
맘이,0.0009993197740915964
거의,0.0009970508538385573
보냅니다,0.0009970132322501555
무조건,0.0009946733095482273
연기차력쇼,0.0009930986464983852
미쳤습니다,0.0009904305689914798
느낌이,0.0009881261022941835
손수건,0.0009881039778647056
영화중,0.0009864970707937838
아쉽지만,0.0009861496481069572
삶이,0.0009851092060158613
무난하게,0.000984740389858397
생각합니다,0.0009813303911765095
화이팅,0.000979919727769223
아름다운,0.0009778889162180482
아쉽다,0.0009669693749466492
보고싶어요,0.0009637034619509166
어떤,0.0009629117550378275
나서,0.0009598037392488629
슬프게,0.0009586116764542904
계기가,0.0009536520465711096
보는데,0.0009533125882866622
되고,0.0009528991962205972
한번더,0.0009519704799689901
좋아,0.000949666535575289
전개가,0.0009494919347253514
너무나도,0.0009479005050284576
위해,0.000945856568809827
생각,0.0009452368152887788
제발,0.0009384661994120358
회차,0.0009340477010916902
박지훈님의,0.0009320954786839549
싶다,0.0009320396085538234
응원합니다,0.0009299929877734336
길게,0.0009298292737409773
역사지만,0.0009265930214962358
봅니다,0.0009243480222055354
생각하게,0.0009242313638702656
배우를,0.0009233699969549449
감동있게,0.0009224668333966266
있던,0.0009214207709573602
했네요,0.0009213358492549293
짧은,0.0009212968045976284
좋았네요,0.0009201181176039284
내용은,0.0009189462810442046
깊이,0.0009166132964640467
좋겠어요,0.0009151159593344738
대해서,0.0009143963275558987
밖에,0.0009128350905560153
위한,0.000910322495071864
처음엔,0.0009085145266419512
얼굴이,0.000907694167124371
모든게,0.0009076367542684397
전체적으로,0.0009071113147750751
전혀,0.000906265986610778
괜찮은,0.0009043638101836739
있었다,0.0009026455655664372
볼수,0.0009021885682400231
박지훈배우님,0.000900826582120241
모습이,0.000900358341772998
마지막이,0.0008989656667674212
못한,0.000898097151176427
슬펐음,0.0008952503251358958
스토리에,0.0008940154002573636
미쳤다,0.0008914377698258558
초반,0.0008914170169710049
부분도,0.0008905123695112148
박지훈과,0.0008902817380059445
많아서,0.0008858233098833688
알지만,0.0008852437178582063
아니,0.000884419687553855
다같이,0.0008842534500168528
감동의,0.0008841442147117661
뛰어난,0.0008833454095674979
감동이었습니다,0.0008830069538559168
나름,0.0008826866499900637
비운의,0.0008812426784450496
한명회가,0.0008811130180781125
않네요,0.0008756885051366051
잔잔하게,0.0008749409506485532
눈에,0.0008745423855365727
그럭저럭,0.0008742444994040798
보다,0.0008719887256627751
강을,0.0008718536429175716
절대,0.0008717342920614117
아팠어요,0.0008704405351787004
서사가,0.0008699620267918175
잘하시고,0.0008689009274021306
같아,0.0008658482253377574
기대없이,0.000865229651255946
몰입감도,0.0008646828536411929
사람들의,0.0008643674815602466
불구하고,0.0008629787075798631
없었다,0.0008628735727149128
드디어,0.0008624890769803739
배우분들이,0.0008608950676133715
감동적이네요,0.0008598907171101109
명품,0.0008596332860890307
좋았지만,0.0008587922781280228
있었는데,0.0008572891061844494
네이놈,0.0008564125165902742
케미가,0.0008534031028164716
미쳤음,0.0008522764022582902
웃으면서,0.0008509653042468578
기대가,0.0008509240721835351
새롭게,0.0008500613361581303
최고예요,0.0008497883716208033
알아서,0.0008495676414530897
행복한,0.0008493374164354849
아프네요,0.0008491732346082935
연기의,0.0008487771135265391
초반에,0.0008486592037220775
없어서,0.0008474362437547121
눈빛에,0.0008450443062287522
보며,0.0008426271466098498
했던,0.000841713549140689
사람들,0.0008388953706033603
영화관에,0.0008375301225472156
나옴,0.0008353930362870773
여운을,0.0008340428503232343
역시나,0.0008313033397652071
영화였네요,0.0008306300386207911
마지막에는,0.0008300290427514538
눈을,0.0008296799469002267
가자,0.0008265113755496812
작품입니다,0.000824476363934069
그럼에도,0.0008221858162663588
영상미,0.0008221146387501298
가즈아,0.0008202504155500312
엄흥도가,0.0008192642076185485
원래,0.000816783347779464
스포라,0.000816457318383389
한명회의,0.0008155020267790411
지금,0.0008149691834347116
관객,0.0008148550784722825
처음으로,0.000814597976926072
연휴에,0.0008145708174271678
봤지만,0.0008142150643880691
알기에,0.0008126939978458773
바로,0.0008125769767055899
시간이었습니다,0.0008118714418721478
살린,0.000809953325191287
엄홍도의,0.0008093152544609374
재미있네요,0.0008085514900831983
콧물,0.0008079887075505363
아니지만,0.0008079170902585614
중간에,0.0008065508567308642
배우님이,0.0008063692684408325
없지만,0.0008045432457579325
생각을,0.0008045054235252219
탄탄한,0.0008031742856656602
몰랐어요,0.0008016143181011148
좋아하는,0.0008006717810273225
힘이,0.0007944752416080206
우리가,0.0007930394628090012
영화중에,0.0007926399730155335
우리의,0.000792039692861513
되었어요,0.000791567296238786
꼭보세요,0.000790039798622034
감동적이에요,0.0007898730259511769
알고봐도,0.0007892403299347655
호랑이는,0.0007877029125919621
충분히,0.000787211729607827
몰입할,0.0007862222631661483
감동까지,0.0007825449267166876
코믹,0.000782219407855773
발견,0.0007782689067958316
후반부,0.0007772341868657435
우리나라,0.0007758096804161916
영화라고,0.0007734593708215118
마지막을,0.0007725740287477626
없어요,0.000771939217476333
수양,0.0007692519978719454
해준,0.0007681355865437804
슬픔과,0.0007674886305014375
보았네요,0.0007670928833146517
결말은,0.0007668086763383129
만큼,0.0007664675524237664
지금이나,0.0007663983379411172
슬펐고,0.0007633945069514165
재발견,0.0007613358172932082
바랍니다,0.0007610018817098828
없었어요,0.0007602245140477532
장면에서,0.0007592921465818053
있음,0.0007572482077648683
좋겠습니다,0.0007559740325279452
최고네요,0.0007556102052363518
울며,0.000754878707863963
눈빛연기,0.0007538201209620779
않았어요,0.000753388107651634
웰메이드,0.000753017129000584
하게,0.000752836089325803
보길,0.0007507638948845187
봤는데도,0.0007475207854369723
